stop_name,stop_name_kn
10th Cross Lingadhiranahalli,10 ನೇ ಅಡ್ಡರಸ್ತೆ ಲಿಂಗಧೀರನಹಳ್ಳಿ
10th Cross Magadi Road,10 ನೇ ಅಡ್ಡರಸ್ತೆ ಮಾಗಡಿ ರಸ್ತೆ
10th Stone NICE Road,ನೈಸ್‌ ರಸ್ತೆ 10 ನೇ ಮೈಲಿಗಲ್ಲು
11th Block Anjanapura,11 ನೇ ಅಡ್ಡರಸ್ತೆ ಅಂಜನಾಪುರ
11th Mile Channadevi Agrahara,11ತ್ ಮೈಲ್ ಚನ್ನಾದೇವಿ ಅಗ್ರಹಾರ
12th Block Nagarabhavi,12 ನೇ ಬ್ಲಾಕ್‌ ನಾಗರಭಾವಿ
12th Main 7th Cross BTM Layout,12ತ್ ಮೈಂ 7ತ್ ಕ್ರೊಸ್ಸ್ ಬ್ಟ್ಂ ಲಯೌಟ್
14th Main HSR Layout,14 ನೇ ಮುಖ್ಯರಸ್ತೆ  ಹೆಚ್‌ಎಸ್‌ಆರ್ ಬಡಾವಣೆ
16th Main Hopcoms BTM Layout,16 ನೇ ಮುಖ್ಯ ರಸ್ತೆ ಹಾಪ್ ಕಾಮ್ಸ್ ಬಿಟಿಎಂ ಬಡಾವಣೆ
17th Cross 9th Main HSR Layout,17ನೇ ಅಡ್ಡರಸ್ತೆ 9ನೇ ಮುಖ್ಯರಸ್ತೆ ಎಚ್ಎಸ್ಆರ್ ಬಡಾವಣೆ
17th Main Hopcoms BTM Layout,17 ನೇ ಮುಖ್ಯರಸ್ತೆ ಹಾಪ್ ಕಾಮ್ಸ್ ಬಿಟಿಎಂ ಬಡಾವಣೆ
18th Main Jayanagara,18 ನೇ ಮುಖ್ಯ ರಸ್ತೆ ಜಯನಗರ
19th Main 13th Cross HSR Layout,19 ನೇ ಮುಖ್ಯ ರಸ್ತೆ 13 ನೇ ಕ್ರಾಸ್‌ ಹೆಚ್‌ಎಸ್‌ಆರ್ ಲೇಔಟ್
1st Block Rajajinagara,1ಎಸ್ಟಿ ಬ್ಲಾಕ್ ರಾಜಾಜಿನಗರ
1st Block Vidyaranyapura,1ನೇ ಬ್ಲಾಕ್‌  ವಿದ್ಯಾರಣ್ಯಪುರ
1st Block Vishweshwaraiah Layout,1ಎಸ್ಟಿ ಬ್ಲಾಕ್ ವಿಶ್ವೇಶ್ವರಯ್ಯ ಲೇಔಟ್
1st Cross Magadi Road,1ನೇ ಅಡ್ಡರಸ್ತೆ ಮಾಗಡಿ ರಸ್ತೆ
1st Main Kodichikkanahalli,1ನೇ ಮುಖ್ಯರಸ್ತೆ ಕೊಡಿಚಿಕ್ಕನಹಳ್ಳಿ
1st Stage 3rd Block Nagarabhavi,1 ನೇ ಹಂತ 3 ನೇ ಬ್ಲಾಕ್‌ ನಾಗರಭಾವಿ
1st Stage 3rd Block Nagarabhavi (Nayandahalli),1ಸ್ಟ್ ಸ್ಟಗೆ 3ರ್ದ್ ಬ್ಲೊಕ್ಕ್ ನಗರಭವಿ (ನಯಂದಹಲ್ಲಿ)
1st Stage 3rd Block Nagarabhavi (Summanahalli),1ಸ್ಟ್ ಸ್ಟಗೆ 3ರ್ದ್ ಬ್ಲೊಕ್ಕ್ ನಗರಭವಿ (ಸುಮ್ಮನಹಲ್ಲಿ)
1st Stage HBR Layout,1 ನೇ ಹಂತ ಹೆಚ್‌ಬಿಆರ್‌ ಬಡಾವಣೆ
22nd Cross HSR Layout,22ನೇ ಅಡ್ಡರಸ್ತೆ  ಎಚ್ಎಸ್ಆರ್ ಬಡಾವಣೆ
2nd Stage  H B R Layout,2ನೇ ಹಂತ ಹೆಚ್ ಬಿ ಆರ್ ಬಡಾವಣೆ
2nd Stage 11th Block Nagarabhavi,2 ನೇ ಹಂತ 11 ನೇ ಬ್ಲಾಕ್‌ ನಾಗರಭಾವಿ
2nd Stage 9th Block Nagarabhavi,2 ನೇ ಹಂತ 9 ನೇ ಬ್ಲಾಕ್‌ ನಾಗರಭಾವಿ
2nd Stage H B R Layout,2ನೇ ಹಂತ ಹೆಚ್ ಬಿ ಆರ್ ಬಡಾವಣೆ
2nd Stage HBR Layout,2ನೇ ಹಂತ ಹೆಚ್ ಬಿ ಆರ್ ಬಡಾವಣೆ
2nd Stage Kanteeravanagara,2ನೇ ಹಂತ ಕಂಠೀರವ ನಗರ
2nd stage Kuvempunagara,2ನೇ ಹಂತ ಕುವೆಂಪುನಗರ
3rd Block Jayanagara,೩ ನೇ ಬ್ಲಾಕ್ ಜಯನಗರ
3rd Block Jn Banashankari 6th Phase,3ಆರ್ಡಿ ಬ್ಲಾಕ್ ಜೆಎನ್ ಬನಶಂಕರಿ 6ತ್ ಫೇಸ್
3rd Block Vidyaranyapura,3ಆರ್ಡಿ ಬ್ಲಾಕ್ ವಿದ್ಯಾರಣ್ಯಪುರ
3rd Main Road Annapoorneshwarinagara,3ನೇ ಮುಖ್ಯ ರಸ್ತೆ ಅನ್ನಪೂರ್ಣೇಶ್ವರಿ ನಗರ
3rd Stage Basaveshwaranagara,3ನೇ ಹಂತ ಬಸವೇಶ್ವರ ನಗರ
4th Block HBR Layout,4 ನೇ ಹಂತ ಹೆಚ್‌ಬಿಆರ್‌ ಬಡಾವಣೆ
4th Phase Yelahanka New Town Iyengar Bakery,4ನೇ ಹಂತ ಯಲಹಂಕ ನ್ಯೂ ಟೌನ್ ಅಯ್ಯಂಗಾರ್‌ ಬೇಕರಿ ಬೇಕರಿ
4th Stone NICE Road,ನೈಸ್‌ ರಸ್ತೆ 4ನೇ ಮೈಲಿಗಲ್ಲು
