Area,Bus Number,Destination,Via,Platform Number,,Area - Kannada,Destination - Kannada,Via - Kannada
Austin Town,145,Neelasandra,Nanjappa Circle,29,,ಆಸ್ಟಿನ್ ಟೌನ್,ನೀಲಸಂದ್ರ,ನಂಜಪ್ಪ ವೃತ್ತ
Austin Town,146,Vivek Nagar,Nanjappa Circle,29,,ಆಸ್ಟಿನ್ ಟೌನ್,ವಿವೇಕನಗರ,ನಂಜಪ್ಪ ವೃತ್ತ
Banasawadi Main Road,302A,Babusab Palya,banaswadi ayyappa temple,20,,ಬಾಣಸವಾಡಿ ಮುಖ್ಯ ರಸ್ತೆ,ಬಾಬುಸಾಬ್ ಪಾಳ್ಯ,ಬಾಣಸವಾಡಿ ಅಯ್ಯಪ್ಪ ದೇವಸ್ಥಾನ
Banasawadi Main Road,302B,Kalyan Nagar,Kammanahalli,20,,ಬಾಣಸವಾಡಿ ಮುಖ್ಯ ರಸ್ತೆ,ಕಲ್ಯಾಣ ನಗರ,ಕಮ್ಮನಹಳ್ಳಿ
Banasawadi Main Road,300H,KR Pura,Banasawadi,20,,ಬಾಣಸವಾಡಿ ಮುಖ್ಯ ರಸ್ತೆ,ಕೆಆರ್ ಪುರ,ಬಾಣಸವಾಡಿ
Banasawadi Main Road,301F,TC Palya,Banasawadi,20,,ಬಾಣಸವಾಡಿ ಮುಖ್ಯ ರಸ್ತೆ,ಟಿಸಿ ಪಾಳ್ಯ,ಬಾಣಸವಾಡಿ
Banashankari,215N,Anjanapura,KR Market,12,,ಬನಶಂಕರಿ,ಅಂಜನಾಪುರ,ಕೃ ರಾ ಮಾರುಕಟ್ಟೆ
Banashankari,12,Banashankari,Lalbagh,11,,ಕನಕಪುರ ರಸ್ತೆ,ಬನಶಂಕರಿ,ಲಾಲ್‌ ಬಾಗ್‌
Banashankari,KBS5H,Harohalli,Kaggalipura,11,,ಬನಶಂಕರಿ,ಹಾರೋಹಳ್ಳಿ,ಕಗ್ಗಲೀಪುರ
Banashankari,210E,Vasanthapura,"Banashankari, Uttarahalli",11,,ಕನಕಪುರ ರಸ್ತೆ,ವಸಂತಪುರ,"ಬನಶಂಕರಿ, ಉತ್ತರಹಳ್ಳಿ"
Bannerughatta Road,365P,Anekal,Jigani,16,,ಬನ್ನೇರುಘಟ್ಟ ರಸ್ತೆ,ಆನೇಕಲ್,ಜಿಗಣಿ
Bannerughatta Road,365,Bannerughatta National Park,gottigere,16,,ಬನ್ನೇರುಘಟ್ಟ ರಸ್ತೆ,ಬನ್ನೇರುಘಟ್ಟ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನವನ,ಗೊಟ್ಟಿಗೆರೆ
Bannerughatta Road,365D,Bilavaradahalli,gottigere,16,,ಬನ್ನೇರುಘಟ್ಟ ರಸ್ತೆ,ಬಿಲವರದಹಳ್ಳಿ,ಗೊಟ್ಟಿಗೆರೆ
Bannerughatta Road,369G,Chikka Kammanahalli,Meenakshi Temple,16,,ಬನ್ನೇರುಘಟ್ಟ ರಸ್ತೆ,ಚಿಕ್ಕ ಕಮ್ಮನಹಳ್ಳಿ,ಮೀನಾಕ್ಷಿ ದೇವಸ್ಥಾನ
Bannerughatta Road,369C,Hulimavu,Arakere Gate,16,,ಬನ್ನೇರುಘಟ್ಟ ರಸ್ತೆ,ಹುಳಿಮಾವು,ಅರಕೆರೆ
Bannerughatta Road,365J,Jigani APC Circle,Bannerughatta circle,16,,ಬನ್ನೇರುಘಟ್ಟ ರಸ್ತೆ,ಜಿಗಣಿ ಎಪಿಸಿ ವೃತ್ತ,ಬನ್ನೇರುಘಟ್ಟ ವೃತ್ತ
BEL,273C,Jalahalli Cross,HMT,25,,ಬಿಇಎಲ್,ಜಾಲಹಳ್ಳಿ ಕ್ರಾಸ್,ಹೆಚ್‌ ಎಂ ಟಿ
BEL,266T,Lakshmipura,MS Palya,25,,ಬಿಇಎಲ್,ಲಕ್ಷ್ಮೀಪುರ,ಎಂಎಸ್ ಪಾಳ್ಯ
BEL,273,Peenya 2nd stage,HMT,25,,ಬಿಇಎಲ್,ಪೀಣ್ಯ 2 ನೇ ಹಂತ,ಹೆಚ್‌ ಎಂ ಟಿ
BEL,271C,Singapura,Kuvempunagar 2nd Stage,25,,ಬಿಇಎಲ್,ಸಿಂಗಾಪುರ,ಕುವೆಂಪುನಗರ 2ನೇ ಹಂತ
BEL,276,Vidyaranyapura,Ramaiah Hospital,24,,ಬಿಇಎಲ್,ವಿದ್ಯಾರಣ್ಯಪುರ,ರಾಮಯ್ಯ ಆಸ್ಪತ್ರೆ
Chamarajapete,45D,AGS Layout,Hanumanthanagara,8,,ಚಾಮರಾಜಪೇಟೆ,ಎಜಿಎಸ್‌ ಲೇಔಟ್‌,ಹನುಮಂತನಗರ
Chamarajapete,36A,Avalahalli BDA Park,Hanumanthanagara,10,,ಚಾಮರಾಜಪೇಟೆ,ಆವಲಹಳ್ಳಿ ಬಿಡಿಎ ಪಾರ್ಕ್‌,ಹನುಮಂತನಗರ
Chamarajapete,45B,Bhuvaneshwarinagara,Kathriguppe Water Tank,8,,ಚಾಮರಾಜಪೇಟೆ,ಭುವನೇಶ್ವರಿನಗರ,ಕತ್ರಿಗುಪ್ಪೆ ವಾಟರ್‌ ಟ್ಯಾಂಕ್
Chamarajapete,45F,Channammanakere Achukattu,Hanumanthanagara,8,,ಚಾಮರಾಜಪೇಟೆ,ಚನ್ನಮ್ಮನಕೆರೆ ಅಚ್ಚುಕಟ್ಟು,ಹನುಮಂತನಗರ
Chamarajapete,45G,Channammanakere Achukattu,Good Shed Road,8,,ಚಾಮರಾಜಪೇಟೆ,ಚನ್ನಮ್ಮನಕೆರೆ ಅಚ್ಚುಕಟ್ಟು,ಗೂಡ್‌ ಶೆಡ್‌ ರಸ್ತೆ
Chamarajapete,45E,Channammanakere Achukattu,kathriguppe water tank,8,,ಚಾಮರಾಜಪೇಟೆ,ಚನ್ನಮ್ಮನಕೆರೆ ಅಚ್ಚುಕಟ್ಟು,ಕತ್ರಿಗುಪ್ಪೆ ವಾಟರ್‌ ಟ್ಯಾಂಕ್
Chamarajapete,210P,Chikkalasandra,Thyagarajanagara,9,,ಚಾಮರಾಜಪೇಟೆ,ಚಿಕ್ಕಲಸಂದ್ರ,ತ್ಯಾಗರಾಜನಗರ
Chamarajapete,36B,Girinagara Extension,Hanumanthanagara,10,,ಚಾಮರಾಜಪೇಟೆ,ಗಿರಿನಗರ ಎಕ್ಸ್‌ ಟೆಂಷನ್‌,ಹನುಮಂತನಗರ
Chamarajapete,43B,Hosakerehalli,Hanumanthanagara,8,,ಚಾಮರಾಜಪೇಟೆ,ಹೊಸಕೆರೆಹಳ್ಳಿ,ಹನುಮಂತನಗರ
Chamarajapete,V-45G,Kamakya,Good Shed Road,8,,ಚಾಮರಾಜಪೇಟೆ,ಕಾಮಾಕ್ಯ,ಗೂಡ್‌ ಶೆಡ್‌ ರಸ್ತೆ
Chamarajapete,210NP,Poorna Prajna Layout,Thyagarajanagara,9,,ಚಾಮರಾಜಪೇಟೆ,ಪೂರ್ಣಪ್ರಜ್ಞ ಲೇಔಟ್‌,ತ್ಯಾಗರಾಜನಗರ
Chamarajapete,36C,Srinagara,Hanumanthanagara,10,,ಚಾಮರಾಜಪೇಟೆ,ಶ್ರೀನಗರ,ಹನುಮಂತನಗರ
Chamarajapete,43E,Srividyanagara,Hanumanthanagara,8,,ಚಾಮರಾಜಪೇಟೆ,ಶ್ರೀವಿದ್ಯಾನಗರ,ಹನುಮಂತನಗರ
Chamarajapete,210N,Uttarahalli,Thyagarajanagara,9,,ಚಾಮರಾಜಪೇಟೆ,ಉತ್ತರಹಳ್ಳಿ,ತ್ಯಾಗರಾಜನಗರ
Chamarajapete,210NG,Uttarahalli,Good Shed Road,9,,ಚಾಮರಾಜಪೇಟೆ,ಉತ್ತರಹಳ್ಳಿ,ಗೂಡ್‌ ಶೆಡ್‌ ರಸ್ತೆ
